datetime,active_sending_addresses,active_receiving_addresses
2024-11-06 19:54:00.000 UTC,5255,10571
2024-11-06 20:15:00.000 UTC,11154,14114
2024-11-06 20:28:00.000 UTC,7072,7706
2024-11-06 20:38:00.000 UTC,6055,7408
2024-11-06 20:56:00.000 UTC,5107,7433
2024-11-06 21:16:00.000 UTC,4511,8861
2024-11-06 21:28:00.000 UTC,5280,10053
2024-11-06 21:32:00.000 UTC,5863,7532
2024-11-06 22:05:00.000 UTC,4512,9477
2024-11-06 22:08:00.000 UTC,5289,6881
2024-11-06 22:24:00.000 UTC,4724,9246
2024-11-06 22:27:00.000 UTC,5339,4891
2024-11-06 22:50:00.000 UTC,4245,6640
2024-11-06 22:56:00.000 UTC,3816,4756
2024-11-06 23:05:00.000 UTC,3984,6826
2024-11-06 23:17:00.000 UTC,2431,5232
2024-11-06 23:19:00.000 UTC,3763,4275
2024-11-06 23:22:00.000 UTC,4096,2481
2024-11-06 23:24:00.000 UTC,5673,2724
2024-11-06 23:41:00.000 UTC,6137,9278
2024-11-06 23:44:00.000 UTC,5338,1726
2024-11-06 23:55:00.000 UTC,3973,5950
2024-11-07 00:10:00.000 UTC,4445,6866
2024-11-07 00:30:00.000 UTC,4618,8040
2024-11-07 00:36:00.000 UTC,5448,4795
2024-11-07 00:55:00.000 UTC,5285,7218
2024-11-07 00:56:00.000 UTC,3806,3168
2024-11-07 01:03:00.000 UTC,3726,3892
2024-11-07 01:04:00.000 UTC,4795,639
2024-11-07 01:33:00.000 UTC,5011,9699
2024-11-07 01:37:00.000 UTC,3694,4498
2024-11-07 01:41:00.000 UTC,3733,2276
2024-11-07 01:48:00.000 UTC,3016,4041
2024-11-07 02:00:00.000 UTC,3446,5662
2024-11-07 02:05:00.000 UTC,2475,2914
2024-11-07 02:07:00.000 UTC,1008,1004
2024-11-07 02:13:00.000 UTC,2285,3018
2024-11-07 02:33:00.000 UTC,5922,8959
2024-11-07 02:36:00.000 UTC,1008,1187
2024-11-07 02:39:00.000 UTC,2134,1593
2024-11-07 02:41:00.000 UTC,2246,1309
2024-11-07 02:51:00.000 UTC,3242,4225
2024-11-07 02:52:00.000 UTC,172,170
2024-11-07 03:03:00.000 UTC,4274,5577
2024-11-07 03:08:00.000 UTC,1939,5508
2024-11-07 03:20:00.000 UTC,3476,11496
2024-11-07 03:24:00.000 UTC,1452,2077
2024-11-07 03:46:00.000 UTC,4585,6369
2024-11-07 03:51:00.000 UTC,4864,4219
2024-11-07 04:05:00.000 UTC,5659,5576
2024-11-07 04:09:00.000 UTC,1467,2638
2024-11-07 04:30:00.000 UTC,4582,7164
2024-11-07 04:37:00.000 UTC,5766,3819
2024-11-07 04:53:00.000 UTC,5444,5202
2024-11-07 04:55:00.000 UTC,2117,1182
2024-11-07 05:06:00.000 UTC,4747,4179
2024-11-07 05:07:00.000 UTC,3436,627
2024-11-07 05:16:00.000 UTC,3307,3584
2024-11-07 05:21:00.000 UTC,1183,2027
2024-11-07 05:25:00.000 UTC,950,1948
2024-11-07 05:39:00.000 UTC,4170,5500
2024-11-07 06:09:00.000 UTC,10035,10468
2024-11-07 06:26:00.000 UTC,5579,4682
2024-11-07 06:27:00.000 UTC,2646,1677
2024-11-07 06:35:00.000 UTC,4133,3286
2024-11-07 06:55:00.000 UTC,5365,5523
2024-11-07 07:00:00.000 UTC,5821,2963
2024-11-07 07:05:00.000 UTC,5274,2929
2024-11-07 07:12:00.000 UTC,5616,3283
2024-11-07 07:21:00.000 UTC,3516,3126
2024-11-07 07:25:00.000 UTC,1982,1730
2024-11-07 07:36:00.000 UTC,5540,4552
2024-11-07 07:54:00.000 UTC,6668,7038
2024-11-07 08:01:00.000 UTC,2579,3077
2024-11-07 08:35:00.000 UTC,6237,6517
2024-11-07 08:38:00.000 UTC,5665,6348
2024-11-07 08:41:00.000 UTC,4886,1320
2024-11-07 08:47:00.000 UTC,4347,4046
2024-11-07 08:49:00.000 UTC,2144,1258
2024-11-07 09:01:00.000 UTC,5891,5733
2024-11-07 09:03:00.000 UTC,950,831
2024-11-07 09:32:00.000 UTC,5136,7704
2024-11-07 09:40:00.000 UTC,5464,6789
2024-11-07 09:44:00.000 UTC,5604,4313
2024-11-07 09:59:00.000 UTC,5284,9114
2024-11-07 10:00:00.000 UTC,3419,2255
2024-11-07 10:22:00.000 UTC,4766,7777
2024-11-07 10:31:00.000 UTC,5846,6080
2024-11-07 10:34:00.000 UTC,3468,1949
2024-11-07 11:14:00.000 UTC,5512,7858
2024-11-07 11:23:00.000 UTC,5559,7131
2024-11-07 11:25:00.000 UTC,5702,5256
2024-11-07 11:30:00.000 UTC,4016,2887
2024-11-07 11:32:00.000 UTC,1139,1277
2024-11-07 11:33:00.000 UTC,468,822
2024-11-07 11:35:00.000 UTC,881,927
2024-11-07 11:49:00.000 UTC,4987,7099
2024-11-07 11:50:00.000 UTC,1024,384
2024-11-07 12:00:00.000 UTC,4406,6067
2024-11-07 12:29:00.000 UTC,5112,8829
2024-11-07 12:34:00.000 UTC,6520,6321
2024-11-07 12:37:00.000 UTC,3329,2442
2024-11-07 12:42:00.000 UTC,3844,3089
2024-11-07 12:46:00.000 UTC,2773,2498
2024-11-07 12:55:00.000 UTC,3505,6432
2024-11-07 13:03:00.000 UTC,4003,4460
2024-11-07 13:15:00.000 UTC,4432,6168
2024-11-07 13:26:00.000 UTC,4501,5482
2024-11-07 13:29:00.000 UTC,1656,1899
2024-11-07 13:39:00.000 UTC,4477,5929
2024-11-07 14:05:00.000 UTC,5648,8811
2024-11-07 14:09:00.000 UTC,5504,7092
2024-11-07 14:11:00.000 UTC,1722,1147
2024-11-07 14:17:00.000 UTC,3902,4126
2024-11-07 14:18:00.000 UTC,1298,1346
2024-11-07 14:31:00.000 UTC,5138,7481
2024-11-07 14:40:00.000 UTC,5612,5842
2024-11-07 14:55:00.000 UTC,5914,5753
2024-11-07 15:04:00.000 UTC,5073,6998
2024-11-07 15:18:00.000 UTC,3303,5447
2024-11-07 15:19:00.000 UTC,3443,4551
2024-11-07 15:33:00.000 UTC,5053,7803
2024-11-07 15:44:00.000 UTC,4746,6480
2024-11-07 16:04:00.000 UTC,5243,8165
2024-11-07 16:12:00.000 UTC,4230,7082
2024-11-07 16:18:00.000 UTC,4418,5971
2024-11-07 16:22:00.000 UTC,3439,4249
2024-11-07 16:32:00.000 UTC,4451,6580
2024-11-07 16:35:00.000 UTC,4414,2547
2024-11-07 16:38:00.000 UTC,4500,2050
2024-11-07 16:42:00.000 UTC,3240,3039
2024-11-07 16:50:00.000 UTC,4873,4963
2024-11-07 17:07:00.000 UTC,4640,7079
2024-11-07 17:09:00.000 UTC,3503,4604
2024-11-07 17:17:00.000 UTC,4870,6075
2024-11-07 17:27:00.000 UTC,4288,6762
2024-11-07 17:42:00.000 UTC,5119,7300
2024-11-07 17:49:00.000 UTC,4325,6583
2024-11-07 17:59:00.000 UTC,3985,6624
2024-11-07 18:04:00.000 UTC,2505,3731
2024-11-07 18:18:00.000 UTC,6073,8665
2024-11-07 18:23:00.000 UTC,2508,3948
2024-11-07 18:28:00.000 UTC,3782,3994
2024-11-07 18:52:00.000 UTC,4987,7350
2024-11-07 19:01:00.000 UTC,5581,6311
2024-11-07 19:17:00.000 UTC,4125,6665
2024-11-07 19:38:00.000 UTC,4215,6730
2024-11-07 19:40:00.000 UTC,4392,6768
2024-11-07 19:55:00.000 UTC,5328,8220
2024-11-07 19:59:00.000 UTC,5936,9031
2024-11-07 20:20:00.000 UTC,5510,8727
2024-11-07 20:44:00.000 UTC,5116,8078
2024-11-07 21:06:00.000 UTC,4700,7553
2024-11-07 21:14:00.000 UTC,3970,5420
2024-11-07 21:28:00.000 UTC,5187,9301
2024-11-07 21:42:00.000 UTC,5601,10163
2024-11-07 21:43:00.000 UTC,13004,9711
2024-11-07 21:53:00.000 UTC,7505,5660
2024-11-07 22:12:00.000 UTC,5839,9465
2024-11-07 22:21:00.000 UTC,8257,6040
2024-11-07 22:22:00.000 UTC,6154,2389
2024-11-07 22:23:00.000 UTC,6377,1458
2024-11-07 22:25:00.000 UTC,2411,1438
2024-11-07 22:33:00.000 UTC,3972,5516
2024-11-07 22:44:00.000 UTC,6259,5480
2024-11-07 22:45:00.000 UTC,1795,1193
2024-11-07 22:52:00.000 UTC,3183,4159
2024-11-07 23:07:00.000 UTC,6366,7334
2024-11-07 23:11:00.000 UTC,2849,3217
2024-11-07 23:29:00.000 UTC,4955,10148
2024-11-07 23:39:00.000 UTC,3337,5096
2024-11-07 23:45:00.000 UTC,1940,3365
2024-11-08 00:13:00.000 UTC,1488,5325
2024-11-08 00:22:00.000 UTC,1763,3171
2024-11-08 00:31:00.000 UTC,2317,4081
2024-11-08 00:37:00.000 UTC,2441,3366
2024-11-08 00:46:00.000 UTC,2043,4413
2024-11-08 00:55:00.000 UTC,2759,4378
2024-11-08 00:56:00.000 UTC,4139,5065
2024-11-08 01:03:00.000 UTC,2997,5391
2024-11-08 01:10:00.000 UTC,2328,2862
2024-11-08 01:18:00.000 UTC,735,1887
2024-11-08 01:21:00.000 UTC,3820,4327
2024-11-08 01:30:00.000 UTC,5248,5030
2024-11-08 01:58:00.000 UTC,5239,9911
