minute,total_reward,mint_reward,total_fee,transaction_count
2025-08-04 03:33:00.000 UTC,359358.31760769757,358704.16517857136,654.152429126197,2773
2025-08-04 03:41:00.000 UTC,359766.8386614117,358312.08928571414,1454.749375697599,4095
2025-08-04 03:50:00.000 UTC,360042.78452995286,358476.3392857141,1566.445244238788,3811
2025-08-04 03:53:00.000 UTC,358846.60003278713,358476.33928571426,370.2607470728567,484
2025-08-04 04:09:00.000 UTC,360840.7202878831,358457.5625,2383.157787883105,3152
2025-08-04 04:24:00.000 UTC,360598.8284678311,358265.51339285704,2333.3150749740184,3213
2025-08-04 04:30:00.000 UTC,359205.9815039805,358307.96428571426,898.0172182662875,1024
2025-08-04 04:39:00.000 UTC,359274.20093388576,358196.42857142864,1077.7723624571356,1345
2025-08-04 04:49:00.000 UTC,359406.8618460406,357765.16964285704,1641.6922031835227,3370
2025-08-04 05:04:00.000 UTC,717298.2660155268,715344.4017857141,1953.8642298126515,3945
2025-08-04 05:45:00.000 UTC,720586.5408719891,714377.4464285714,6209.094443417732,5920
2025-08-04 05:46:00.000 UTC,357808.35249424353,357188.72321428574,619.6292799577486,3273
2025-08-04 05:53:00.000 UTC,359025.61190751224,357235.7544642857,1789.8574432265991,1615
2025-08-04 06:15:00.000 UTC,361458.34325503523,357402.0133928571,4056.3298621781187,2435
2025-08-04 06:16:00.000 UTC,357934.65333039744,357402.01339285716,532.6399375403164,869
2025-08-04 06:18:00.000 UTC,358134.39473658317,357402.01339285716,732.3813437259818,671
2025-08-04 06:26:00.000 UTC,358387.8248963425,357119.84375,1267.9811463424946,1468
2025-08-04 06:46:00.000 UTC,361045.41815339273,357640.3705357142,3405.047617678551,2658
2025-08-04 06:48:00.000 UTC,358601.37939479796,357640.37053571426,961.0088590837286,4810
2025-08-04 06:52:00.000 UTC,358256.1548878644,357497.125,759.029887864403,641
2025-08-04 07:13:00.000 UTC,719643.6130987061,715785.5803571428,3858.032741563224,7940
2025-08-04 07:18:00.000 UTC,359016.71003399504,358100.03125,916.6787839950015,1028
2025-08-04 07:20:00.000 UTC,358993.686351744,358053.75,939.9363517439681,3761
2025-08-04 07:32:00.000 UTC,360311.6444955565,358029.2008928571,2282.4436026993762,3542
2025-08-04 07:53:00.000 UTC,362400.9832179008,358760.2008928571,3640.7823250436777,2757
2025-08-04 07:59:00.000 UTC,360335.6258030569,358672.8437500001,1662.7820530567508,2811
2025-08-04 08:04:00.000 UTC,360058.33501050854,358554.7857142857,1503.5492962228575,1494
2025-08-04 08:18:00.000 UTC,362764.396876052,358546.7455357142,4217.651340337826,2541
2025-08-04 08:23:00.000 UTC,360588.0332634599,358699.28125,1888.7520134598992,1586
2025-08-04 08:25:00.000 UTC,359511.2211709275,358594.28125000006,916.9399209275014,437
2025-08-04 08:29:00.000 UTC,359647.8037082717,358594.28125000006,1053.522458271704,984
2025-08-04 08:49:00.000 UTC,362014.81891445036,358167.74999999994,3847.0689144504418,3263
2025-08-04 09:14:00.000 UTC,363292.0742954966,358255.0133928573,5037.060902639329,3683
2025-08-04 09:25:00.000 UTC,361179.6107106886,358573.73660714296,2605.8741035456555,2816
2025-08-04 09:29:00.000 UTC,360244.6397325501,358573.73660714296,1670.903125407165,1475
2025-08-04 09:30:00.000 UTC,359757.2902000736,358480.75000000006,1276.5402000736055,1012
2025-08-04 09:36:00.000 UTC,359565.34468353656,358400.7098214286,1164.6348621080087,1381
2025-08-04 09:37:00.000 UTC,358670.26041480014,358400.7098214286,269.550593371585,296
2025-08-04 09:44:00.000 UTC,360634.67611243285,358268.7723214286,2365.9037910043044,1395
2025-08-04 09:51:00.000 UTC,717845.1853522168,715676.9464285714,2168.2389236454237,1716
2025-08-04 10:06:00.000 UTC,360676.59676911,357512.34821428574,3164.2485548242917,3186
2025-08-04 10:16:00.000 UTC,360507.04337281594,357781.21874999994,2725.8246228159974,3255
2025-08-04 10:17:00.000 UTC,358415.4429190045,357781.2187500001,634.2241690043527,5117
2025-08-04 10:35:00.000 UTC,719453.5161511761,715383.5446428572,4069.9715083189276,3729
2025-08-04 10:54:00.000 UTC,361426.06545790477,357493.7678571428,3932.297600761981,3343
2025-08-04 11:36:00.000 UTC,365664.86434497655,357630.48660714284,8034.377737833723,3369
2025-08-04 11:45:00.000 UTC,361741.0021674163,357719.73214285716,4021.270024559124,3401
2025-08-04 11:47:00.000 UTC,359428.54957332683,357719.7321428571,1708.8174304697272,3244
2025-08-04 11:51:00.000 UTC,359879.83692246646,357755.51785714284,2124.319065323681,2782
2025-08-04 12:10:00.000 UTC,362023.6660899936,357987.74999999994,4035.9160899936514,3438
2025-08-04 12:12:00.000 UTC,718034.0189162424,715975.5,2058.5189162423626,5004
2025-08-04 12:14:00.000 UTC,358987.1704631832,357987.74999999994,999.4204631832406,4936
2025-08-04 12:17:00.000 UTC,359008.49879466667,357978.8348214286,1029.663973238102,3346
2025-08-04 12:22:00.000 UTC,718145.0234638107,715885.1607142856,2259.862749525098,2249
2025-08-04 12:26:00.000 UTC,359502.80705845583,357889.5714285715,1613.2356298843463,926
2025-08-04 12:30:00.000 UTC,359158.65109131153,357706.1785714284,1452.4725198831466,3198
2025-08-04 12:48:00.000 UTC,361940.19958303194,357586.25,4353.949583031996,3361
2025-08-04 12:53:00.000 UTC,359169.26326006185,357484.95089285716,1684.3123672046859,1854
2025-08-04 13:02:00.000 UTC,360976.9270826198,357721.98214285716,3254.944939762675,2934
2025-08-04 13:06:00.000 UTC,1075217.4885468015,1072894.9553571427,2322.5331896587263,1652
2025-08-04 13:20:00.000 UTC,361467.42474721087,357609.63839285704,3857.786354353815,2984
2025-08-04 13:50:00.000 UTC,365358.943254597,358738.1026785714,6620.840576025613,3640
2025-08-04 14:25:00.000 UTC,367940.870421083,360678.3526785713,7262.5177425116735,3960
2025-08-04 14:42:00.000 UTC,365911.1738440358,360209.2232142857,5701.950629750116,3915
2025-08-04 14:45:00.000 UTC,362873.0811107618,359706.5937499999,3166.4873607619515,3674
2025-08-04 15:12:00.000 UTC,366911.66149803204,359375.2812499999,7536.380248032184,3733
2025-08-04 15:25:00.000 UTC,364922.3092805459,359160.23214285716,5762.077137688787,3588
2025-08-04 15:29:00.000 UTC,362799.6366798866,359160.23214285716,3639.4045370294953,3580
2025-08-04 15:58:00.000 UTC,366503.65751142957,359036.7366071428,7466.9209042868115,4048
2025-08-04 15:59:00.000 UTC,362563.88938030275,359036.73660714284,3527.152773159911,4190
2025-08-04 16:02:00.000 UTC,362616.5893174089,359085.8526785714,3530.736638837457,3417
2025-08-04 16:05:00.000 UTC,362474.73221019655,359340.71428571426,3134.0179244822834,2173
2025-08-04 16:14:00.000 UTC,364654.08813983,359819.29017857136,4834.797961258638,2414
2025-08-04 16:34:00.000 UTC,367393.8909655216,359448.9241071428,7944.966858378825,4081
2025-08-04 16:44:00.000 UTC,364906.784104308,359425.25,5481.5341043079925,3382
2025-08-04 16:46:00.000 UTC,723871.9811566944,719336.3124999999,4535.668656694536,4061
2025-08-04 16:49:00.000 UTC,362735.80451108265,359668.15625000006,3067.6482610825915,1984
2025-08-04 17:08:00.000 UTC,366876.63308579364,360639.3348214285,6237.298264365117,3510
2025-08-04 17:09:00.000 UTC,362362.9000223154,360639.3348214286,1723.5652008868155,2614
2025-08-04 17:13:00.000 UTC,363642.72494517703,361160.2366071428,2482.488338034269,2895
2025-08-04 17:16:00.000 UTC,363546.2525412721,361531.89285714284,2014.3596841292556,957
2025-08-04 17:19:00.000 UTC,363213.692946632,361531.8928571426,1681.800089489369,4179
2025-08-04 17:24:00.000 UTC,363205.74029990134,361198.0535714284,2007.6867284729465,4070
2025-08-04 17:34:00.000 UTC,726397.567562458,722176.1785714286,4221.388991029364,3915
2025-08-04 17:36:00.000 UTC,361315.033237867,360558.2946428571,756.7385950098851,448
2025-08-04 17:43:00.000 UTC,362906.5285020371,360618.81696428574,2287.7115377513533,2274
2025-08-04 17:46:00.000 UTC,361409.9864158086,360357.67857142864,1052.3078443800002,721
2025-08-04 17:49:00.000 UTC,361683.3070484177,360357.6785714283,1325.6284769893814,3880
2025-08-04 17:53:00.000 UTC,361763.34059904923,360271.03571428545,1492.3048847637867,4013
