datetime,exchange_netflow_usd
2024-11-06 22:27:00.000 UTC,804655.8164266064
2024-11-06 22:50:00.000 UTC,-75527697.02962285
2024-11-06 22:56:00.000 UTC,13974279.947365195
2024-11-06 23:05:00.000 UTC,266460.0598053038
2024-11-06 23:17:00.000 UTC,3329619.6771581396
2024-11-06 23:19:00.000 UTC,2730223.986956198
2024-11-06 23:22:00.000 UTC,610348.7592167482
2024-11-06 23:24:00.000 UTC,267348.67294567544
2024-11-06 23:41:00.000 UTC,53249011.720725656
2024-11-06 23:44:00.000 UTC,-809666.9699836774
2024-11-06 23:55:00.000 UTC,2120357.465990424
2024-11-07 00:10:00.000 UTC,4860884.052859038
2024-11-07 00:30:00.000 UTC,88492247.45850214
2024-11-07 00:36:00.000 UTC,-27763136.41384449
2024-11-07 00:55:00.000 UTC,-27811391.129310563
2024-11-07 00:56:00.000 UTC,-134908.5810094744
2024-11-07 01:03:00.000 UTC,3651535.478463171
2024-11-07 01:04:00.000 UTC,35448.843778006994
2024-11-07 01:33:00.000 UTC,17246095.89722359
2024-11-07 01:37:00.000 UTC,12072523.623297965
2024-11-07 01:41:00.000 UTC,4905322.955406755
2024-11-07 01:48:00.000 UTC,10809612.090658851
2024-11-07 02:00:00.000 UTC,9683494.153998427
2024-11-07 02:05:00.000 UTC,-461512.0620675944
2024-11-07 02:07:00.000 UTC,-12421587.267052041
2024-11-07 02:13:00.000 UTC,166003.36527392006
2024-11-07 02:33:00.000 UTC,7579700.649524212
2024-11-07 02:36:00.000 UTC,204022.8302715936
2024-11-07 02:39:00.000 UTC,-83201161.52893586
2024-11-07 02:41:00.000 UTC,8562590.534534305
2024-11-07 02:51:00.000 UTC,7329525.032574059
2024-11-07 02:52:00.000 UTC,15058.3145781965
2024-11-07 03:03:00.000 UTC,-11739874.243093919
2024-11-07 03:08:00.000 UTC,642430.9501696615
2024-11-07 03:20:00.000 UTC,109443721.45388377
2024-11-07 03:24:00.000 UTC,10379941.308355689
2024-11-07 03:46:00.000 UTC,414569.60481390357
2024-11-07 03:51:00.000 UTC,-3757406.1364798723
2024-11-07 04:05:00.000 UTC,4939942.697165012
2024-11-07 04:09:00.000 UTC,953043.2997787625
2024-11-07 04:30:00.000 UTC,22999313.812436465
2024-11-07 04:37:00.000 UTC,-4791783.149302982
2024-11-07 04:53:00.000 UTC,-37182647.172210544
2024-11-07 04:55:00.000 UTC,69131.57431280043
2024-11-07 05:06:00.000 UTC,-1804902.589764472
2024-11-07 05:07:00.000 UTC,-12633.366318826796
2024-11-07 05:16:00.000 UTC,12164780.456858119
2024-11-07 05:21:00.000 UTC,1726124.3453942584
2024-11-07 05:25:00.000 UTC,-1134379.1610257803
2024-11-07 05:39:00.000 UTC,6153688.2743655555
2024-11-07 06:09:00.000 UTC,-463997.9938098155
2024-11-07 06:26:00.000 UTC,17851972.479361773
2024-11-07 06:27:00.000 UTC,-7330189.750243597
2024-11-07 06:35:00.000 UTC,12504224.102571335
2024-11-07 06:55:00.000 UTC,-35935046.51866561
2024-11-07 07:00:00.000 UTC,26378340.156662934
2024-11-07 07:05:00.000 UTC,719541.5545053398
2024-11-07 07:12:00.000 UTC,-4154221.791588865
2024-11-07 07:21:00.000 UTC,17694391.98075223
2024-11-07 07:25:00.000 UTC,170060.90828923136
